OBJECTID,Join_Count,TARGET_FID,url,building,PerSqFeet,lat,lon,NAME_ENG,NAME_CHT,FLAT_NO,DGFA,NDGFA,TOTAL,BD_STOREY,Year,Income2016,WalkDis,Lift,SDU_cat,Potential,Management,MajorEstat,Easting,Northing,dc_chi,dc_eng,SDU_IND,Shape_Leng
383,1,383,https://hk.centanet.com/findproperty/centadata-details/%E9%A6%99%E6%B1%9F%E5%A4%A7%E5%BB%88_2-OQDOQRSARO,香江大廈,8793,22.27836,114.17297,HONG KONG BUILDING,香江大廈,0,3931.9,1436.5,5368.4,14,58,23600,0.05,1,0,0,1,0,835860,815493,灣仔區,Wan Chai,*,79.4859772
384,1,384,https://hk.centanet.com/findproperty/centadata-details/%E8%8D%94%E6%99%AF%E9%96%A3_2-EEEAGPAYPS,荔景閣,8796,22.34275,114.13645,LAI YING HOUSE,荔影閣,1920,148615,0,148615,41,23,33050,0.6,1,0,0,1,1,832103,822630,葵青區,Kwai Tsing,*,326.281951
385,1,385,https://hk.centanet.com/findproperty/centadata-details/%E5%8A%A0%E9%80%A3%E5%A8%81%E5%A4%A7%E5%BB%88_2-UOFVURSJRU,加連威大廈,8806,22.29957,114.17308,GRANVILLE BUILDING,加連威大廈,0,2875.5,2115.3,4990.8,10,59,32540,0.1,1,0,0,1,0,835878,817845,油尖旺區,Yau Tsim Mong,*,106.5794313
386,2,386,https://hk.centanet.com/findproperty/centadata-details/%E6%98%8E%E5%BE%B7%E5%9C%92_2-UQCRFRDJRS,明德園,8819,22.31898,114.17682,SUNLIGHT GARDEN,明德園,0,9350,0,9350,21,60,35000,1,1,0,0,1,0,836261,819996,九龍城區,Kowloon City,*,128.6060761
387,2,387,https://hk.centanet.com/findproperty/centadata-details/%E5%90%8C%E7%99%BC%E5%A4%A7%E5%BB%88_2-BWDGPPBYPS,同發大廈,8824,22.44619,114.02226,TUNG FAT BUILDING,同發大廈,0,6438.1,1920.3,8358.4,17,48,21750,0.3,1,0,0,0,0,820355,834092,元朗區,Yuen Long,*,171.3802273
388,1,388,https://hk.centanet.com/findproperty/centadata-details/%E6%A6%AE%E7%99%BC%E6%A8%93_2-AESGPPKRPK,榮發樓,8825,22.28528,114.1526,WING FAT HOUSE,榮發樓,0,0,922.4,922.4,6,41,27200,0.05,1,0,0,0,0,0,0,中西區,Central and Western, ,50.15818525
389,1,389,https://hk.centanet.com/findproperty/centadata-details/%E6%84%9B%E7%90%B4%E6%B5%B7%E5%B2%B8_2-KEPPWPPJPG,愛琴海岸,8835,22.37352,113.99423,AEGEAN COAST SHOPPING ARCADE,愛琴海岸商場,0,0,4894,4894,2,22,48350,3,1,0,0,0,1,0,0,屯門區,Tuen Mun, ,260.8201571
390,1,390,https://hk.centanet.com/findproperty/centadata-details/%E8%8F%AF%E9%BA%97%E6%A8%93_2-UCJOFRCJRS,華麗樓,8839,22.31338,114.22666,WAH LAI MANSION,華禮大廈,0,7053.3,543.2,7596.5,13,58,29650,0.3,1,0,0,1,0,841401,819377,觀塘區,Kwun Tong,*,154.6752446
391,2,391,https://hk.centanet.com/findproperty/centadata-details/%E5%8D%94%E5%92%8C%E5%A4%A7%E5%BB%88_2-MLZNZHTAHZ,協和大廈,8852,22.31651,114.22608,HIP WO HOUSE,協和大廈,0,10538.6,1612.1,12150.7,21,58,16330,0.7,1,2,0,1,0,841334,819730,觀塘區,Kwun Tong,***,196.471423
392,2,392,https://hk.centanet.com/findproperty/centadata-details/%E8%81%AF%E9%82%A6%E9%96%A3_2-UDCVQRVJRO,聯邦閣,8853,22.3397,114.15306,FEDERAL MANSION BLOCK B,聯邦閣Ｂ座,80,3800,4939.3,8739.3,12,43,23810,0.5,1,0,0,0,0,833822,822285,深水埗區,Sham Shui Po,*,100.890626
393,1,393,https://hk.centanet.com/findproperty/centadata-details/%E6%85%A7%E6%99%AF%E8%BB%92_2-BSPPWPPEPP,慧景軒,8856,22.466,114.00343,VIANNI COVE CLUB HOUSE,慧景軒會所,0,0,10425.5,10425.5,3,19,31800,0.05,1,0,0,0,1,0,0,元朗區,Yuen Long, ,41.52041373
394,1,394,https://hk.centanet.com/findproperty/centadata-details/%E6%BB%BF%E8%8F%AF%E6%A8%93_2-TXMMZHNYHN,滿華樓,8861,22.26165,114.23361,MOON WAH BUILDING,滿華樓,0,8904.5,1891.9,10796.4,17,53,24000,0.5,1,0,0,1,0,842110,813659,東區,Eastern,*,151.5354662
395,1,395,https://hk.centanet.com/findproperty/centadata-details/%E6%B0%91%E5%AE%89%E5%A4%A7%E5%BB%88_2-UDCQQRJYRD,民安大廈,8871,22.3323,114.16394,MAN ON BUILDING,民安大廈,0,4156,417.4,4573.4,11,60,17300,0.2,1,2,1,1,0,834937,821474,深水埗區,Sham Shui Po,***,94.13455665
396,1,396,https://hk.centanet.com/findproperty/centadata-details/%E6%96%87%E8%80%80%E6%A8%93_2-UUFRFRQXRV,文耀樓,8872,22.30774,114.16618,MAN YIU BUILDING,文耀樓,0,30162.6,1899.5,32062.1,19,55,21590,0.3,0,2,0,0,0,835162,818760,油尖旺區,Yau Tsim Mong,***,130.5910154
397,2,397,https://hk.centanet.com/findproperty/centadata-details/%E4%BB%81%E5%8E%9A%E5%A4%A7%E5%BB%88_2-MLNNIHXYHZ,仁厚大廈,8905,22.31639,114.21719,YEN HAU MANSION,仁厚大廈,132,4095.1,2244.6,6339.7,23,47,21250,0.2,1,0,0,1,0,840417,819710,觀塘區,Kwun Tong,*,76.41864538
398,1,398,https://hk.centanet.com/findproperty/centadata-details/Napa_2-KESPWPPEPG,Napa,8911,22.37345,114.00171,NAPA HOUSE D17,NAPA D17號洋房,460,35013.9,0,35013.9,2,7,43000,4,0,0,0,0,0,818228,826040,屯門區,Tuen Mun,*,39.57045834
399,1,400,https://hk.centanet.com/findproperty/centadata-details/%E5%85%83%E5%AE%89%E5%A4%A7%E5%BB%88_2-UDDOURRJRS,元安大廈,8926,22.33231,114.16355,UN ON BUILDING,元安大廈,0,4412,1176,5588,11,61,17300,0.2,1,1,1,1,0,834893,821475,深水埗區,Sham Shui Po,**,105.2209837
400,2,401,https://hk.centanet.com/findproperty/centadata-details/%E5%98%89%E6%9A%89%E8%8A%B1%E5%9C%92_2-CJVJQRSXRD,嘉暉花園,8964,22.2853,114.03755,MONTEREY VILLAS,嘉暉花園,1,5875,1792.1,7667.1,5,27,18380,0,1,0,0,1,0,821914,816284,離島區,Islands,*,254.0813271
401,2,402,https://hk.centanet.com/findproperty/centadata-details/%E6%98%8C%E6%A6%AE%E6%A8%93_2-QUJVFRCHRJ,昌榮樓,8976,22.36593,114.13825,CHEONG WING MANSION,昌榮樓,0,2228.9,1297.6,3526.5,14,50,18800,2,1,0,1,1,0,832294,825193,葵青區,Kwai Tsing,*,84.08386604
