OID_,SampleBuilding,Area,PerSqFeet,lat,long,CSU_ID,NAME_ENG,NAME_CHT,FLAT_NO,DGFA,NDGFA,TOTAL,BD_STOREY,Year,Income2016,WalkDis,Lift,SDU_cat,Potential,Management,MajorEstat,Easting,Northing,dc_chi,dc_eng,SDU_IND
1504,碧麗閣 B座,753,12616,22.279570000000000,114.224320000000006,4115915637T20091016,BELLEVE COURT BLOCK B,碧麗閣B座,300,9939.799999999999272,670.200000000000045,10610.000000000000000,27,36,30000,0.4,1,0,0,0,0,841159,815637,東區,Eastern,*
1505,美孚新邨 8期 百老匯街94-96號,586,11092,22.334790000000002,114.141120000000001,3258621748T20050430,MEI FOO SUN CHUEN STAGE VIII,美孚新邨第八期,128,107377.000000000000000,6313.100000000000364,113690.100000000005821,21,46,60000,0.3,1,0,0,0,1,832586,821748,深水埗區,Sham Shui Po,*
1506,寶輝大廈,596,16778,22.268670000000000,114.185130000000001,3712214418T20050430,PORTFIELD BUILDING,寶輝大廈,98,6361.399999999999636,0,6361.399999999999636,27,47,41750,1.500000000000000,1,0,0,0,0,837122,814418,灣仔區,Wan Chai,*
1507,碧麗閣 G座,620,13548,22.342070000000000,114.182190000000006,3681722555T20050430,PHOENIX COURT BLOCK G,碧麗閣Ｇ座,63,4019.800000000000182,0,4019.800000000000182,9,47,70000,0.9,1,0,0,0,0,836817,822555,九龍城區,Kowloon City,*
1508,協和大廈,420,14523,22.316510000000001,114.226079999999996,4133819724P20060311,HIP WO HOUSE,協和大廈,0,10538.600000000000364,1612.099999999999909,12150.700000000000728,21,58,16330,0.7,1,2,0,1,0,841334,819730,觀塘區,Kwun Tong,***
1509,南生大廈,455,24615,22.282430000000002,114.128370000000004,3126815953T20050620,NAN SANG BUILDING,南生大廈,54,2836.800000000000182,1650.900000000000091,4487.699999999999818,22,46,21150,0.05,1,0,0,0,0,831268,815953,中西區,Central and Western,*
1510,光超台 B座,434,14285,22.288840000000000,114.194680000000005,3810316662T20050430,KWONG CHIU TERRACE BLOCK B,光超台 B 座,0,15410.000000000000000,861.000000000000000,16271.000000000000000,32,46,51000,0.05,1,0,0,0,0,838103,816662,東區,Eastern,*
1511,新雅閣,643,16998,22.432050000000000,114.023820000000001,2051332526T20050430,NO SPECIFIC NAME,沒有名稱,0,109.299999999999997,0,109.299999999999997,3,0,25000,1.500000000000000,0,0,0,0,0,820513,832526,元朗區,Yuen Long,*
1512,碧麗閣 H座,617,15883,22.341919999999998,114.182159999999996,3681022538T20050430,PHOENIX COURT BLOCK H,碧麗閣Ｈ座,63,4019.800000000000182,0,4019.800000000000182,9,47,70000,0.9,1,0,0,1,0,836810,822538,九龍城區,Kowloon City,*
1513,太古城 高山台 南山閣 (10座),582,20618,22.285280000000000,114.219399999999993,4065216260T20050430,TAIKOO SHING - PO SHAN MANSION,太古城 寶山閣,198,13271.700000000000728,6493.300000000000182,19765.000000000000000,32,43,47750,0.4,1,0,0,0,1,840652,816260,東區,Eastern,*
1514,昌鴻大廈,406,12068,22.360019999999999,114.126559999999998,3109524530T20050430,CHEONG HUNG MANSION,昌鴻大廈,100,4084.800000000000182,1525.900000000000091,5610.699999999999818,23,46,19490,0.4,1,0,0,1,0,831095,824530,葵青區,Kwai Tsing,*
1515,偉恒昌新邨 昌景閣 C座,426,11737,22.318159999999999,114.191839999999999,3780919906P20060311,NO SPECIFIC NAME,沒有名稱,780,36988.199999999997090,5293.500000000000000,42281.699999999997090,1,47,26500,0.5,0,0,0,1,1,0,0,九龍城區,Kowloon City, 
1516,太古城 翠湖台 太湖閣 (3座),583,14579,22.284600000000001,114.220540000000000,4076616194T20050430,TAI WOO MANSION,太湖閣,206,12595.299999999999272,414.000000000000000,13009.299999999999272,28,46,47210,0.3,1,0,0,0,1,840766,816194,東區,Eastern,*
1517,偉恒昌新邨 昌景閣 G座,426,13145,22.318370000000002,114.191919999999996,3781819929T20050430,CHONG CHIEN COURT BLOCK G,昌景閣Ｇ座,780,36988.199999999997090,5293.500000000000000,42281.699999999997090,15,47,26500,0.6,1,0,0,0,1,837818,819929,九龍城區,Kowloon City,*
1518,嘉翠園,531,20715,22.342849999999999,114.182680000000005,3686522640T20050430,CLIFFORD MANSION,嘉翠園,90,6604.699999999999818,0,6604.699999999999818,7,46,94500,1.000000000000000,1,0,0,1,0,836865,822640,九龍城區,Kowloon City,*
1519,美孚新邨 8期 百老匯街130-132號,666,11711,22.334800000000001,114.141959999999997,3267321749T20050430,MEI FOO SUN CHUEN STAGE VIII,美孚新邨第八期,128,107377.000000000000000,6313.100000000000364,113690.100000000005821,17,46,60000,0.4,1,0,0,0,1,832673,821749,深水埗區,Sham Shui Po,*
