OID_,PerSqFeet,Area,lat,lon,Building,NAME_ENG,NAME_CHT,OP_YRM,FLAT_NO,DGFA,NDGFA,TOTAL,BD_STOREY,Year,Income2016,WalkDis,Lift,SDU_cat,Potential,Management,MajorEstat,Easting,Northing,dc_chi,dc_eng,SDU_IND,
46,13838,831,22.283429999999999,114.191559999999996,凱旋大廈 B座,TRIUMPH COURT,凱旋大廈,10/1/1959 0:00,0,7754.000000000000000,795.200000000000045,8549.200000000000728,11,65,35350,0.05,1,0,0,0,0,837784,816060,東區,Eastern,*,
47,12226,548,22.279769999999999,114.183019999999999,軒尼詩大廈,HENNESSY APARTMENTS,軒尼詩大廈,8/1/1960 0:00,0,11840.000000000000000,3186.000000000000000,15026.000000000000000,20,64,34500,0.05,1,0,1,1,0,836887,815653,灣仔區,Wan Chai,*,
48,12226,548,22.279769999999999,114.183019999999999,軒尼詩大廈,HENNESSY APARTMENTS,軒尼詩大廈,8/1/1960 0:00,0,11840.000000000000000,3186.000000000000000,15026.000000000000000,20,64,34500,0.05,1,0,1,1,0,836887,815653,灣仔區,Wan Chai,*,
49,11267,1065,22.289999999999999,114.209119999999999,民新大廈,MANSION BUILDING,民新大廈,8/1/1960 0:00,0,5809.600000000000364,886.399999999999977,6696.000000000000000,13,64,26990,0.2,1,1,0,0,0,839585,816796,東區,Eastern,**,
50,13597,581,22.283429999999999,114.191559999999996,凱旋大廈 B座,TRIUMPH COURT,凱旋大廈,10/1/1959 0:00,0,7754.000000000000000,795.200000000000045,8549.200000000000728,11,65,35350,0.05,1,0,0,0,0,837784,816060,東區,Eastern,*,
51,12345,567,22.279769999999999,114.183019999999999,軒尼詩大廈,HENNESSY APARTMENTS,軒尼詩大廈,8/1/1960 0:00,0,11840.000000000000000,3186.000000000000000,15026.000000000000000,20,64,34500,0.05,1,0,1,1,0,836887,815653,灣仔區,Wan Chai,*,
52,10901,688,22.280950000000001,114.185239999999993,百德大廈 C座,PATERSON BUILDING BLOCK C,百德大廈C座,12/1/1959 0:00,0,21333.400000000001455,2644.000000000000000,23977.400000000001455,16,65,42250,0.05,0,0,0,1,0,837131,815786,灣仔區,Wan Chai,*,
53,10561,445,22.319310000000002,114.161360000000002,富貴大廈 西座,PEONY HOUSE WEST BLOCK,富貴大廈西座,7/1/1961 0:00,0,11119.000000000000000,1344.000000000000000,12463.000000000000000,12,63,24000,0.05,1,1,0,0,0,834684,820043,油尖旺區,Yau Tsim Mong,**,
54,10526,684,22.297979999999999,114.171779999999998,海防大廈,HAI PHONG MANSION,海防大廈,11/1/1960 0:00,0,12280.700000000000728,2176.900000000000091,14457.600000000000364,16,64,22000,0.05,1,1,0,1,0,835742,817677,油尖旺區,Yau Tsim Mong,**,
55,11434,962,22.288160000000001,114.196060000000003,康德大廈,KENT MANSION,康德大廈,8/1/1961 0:00,0,9816.000000000000000,0,9816.000000000000000,13,63,31000,0.3,1,0,0,1,0,838257,816569,東區,Eastern,*,
56,11761,670,22.282560000000000,114.192459999999997,百利大廈,PAK LEE BUILDING,百利大廈,3/1/1961 0:00,0,7916.300000000000182,1611.599999999999909,9527.899999999999636,14,64,46250,0.05,1,0,0,1,0,837866,815969,東區,Eastern,*,
57,7954,440,22.319310000000002,114.161360000000002,富貴大廈 西座,PEONY HOUSE WEST BLOCK,富貴大廈西座,7/1/1961 0:00,0,11119.000000000000000,1344.000000000000000,12463.000000000000000,12,63,24000,0.05,1,1,0,0,0,834684,820043,油尖旺區,Yau Tsim Mong,**,
58,11827,930,22.269559999999998,114.184950000000001,成和大廈,SING WOO BUILDING,成和大廈,4/1/1961 0:00,0,2250.000000000000000,250.000000000000000,2500.000000000000000,10,63,30000,1.500000000000000,1,1,0,1,0,837097,814530,灣仔區,Wan Chai,**,
59,9333,600,22.306249999999999,114.167710000000000,利成大廈,LEE SHING MANSION,利成大廈,6/1/1961 0:00,0,6159.500000000000000,1307.599999999999909,7467.100000000000364,14,63,24300,0.1,1,2,0,1,0,835323,818580,油尖旺區,Yau Tsim Mong,***,
60,8067,471,22.315230000000000,114.222309999999993,宜安大廈,YEE ON BUILDING,宜安大廈,7/1/1961 0:00,0,2689.000000000000000,547.100000000000023,3236.099999999999909,6,63,16380,0.3,0,2,0,1,0,840950,819581,觀塘區,Kwun Tong,***,
61,9590,415,22.282869999999999,114.212940000000003,太就樓,TAI CHOW HOUSE,太就樓,10/1/1960 0:00,0,7672.199999999999818,131.000000000000000,7803.199999999999818,10,64,20580,0.4,1,0,0,1,0,839979,816000,東區,Eastern,*,
62,13793,725,22.283700000000000,114.142510000000001,興華樓 B座,HING WAH MANSION BLOCK B,興華樓B座,11/1/1961 0:00,0,3565.000000000000000,155.000000000000000,3720.000000000000000,12,63,85500,0.1,1,0,0,1,0,832735,816090,中西區,Central and Western,*,
63,16622,456,22.283700000000000,114.142510000000001,興華樓 B座,HING WAH MANSION BLOCK B,興華樓B座,11/1/1961 0:00,0,3565.000000000000000,155.000000000000000,3720.000000000000000,12,63,85500,0.1,1,0,0,1,0,832735,816090,中西區,Central and Western,*,
64,11783,611,22.301410000000001,114.174949999999995,太平洋大廈,PACIFIC BUILDING,太平洋大廈,12/1/1961 0:00,0,3970.000000000000000,537.500000000000000,4507.500000000000000,12,63,19210,0.5,1,0,0,1,0,836073,818052,油尖旺區,Yau Tsim Mong,*,
65,11471,462,22.317689999999999,114.175070000000005,自由大廈,LIBERTY MANSION,自由大廈,1/1/1962 0:00,0,4452.000000000000000,291.000000000000000,4743.000000000000000,16,63,65000,0.6,1,0,0,1,0,836083,819853,九龍城區,Kowloon City,*,
66,9484,601,22.321310000000000,114.170540000000003,龍旺大廈,LUNG MONG BUILDING,龍旺大廈,1/1/1962 0:00,0,4037.300000000000182,306.699999999999989,4344.000000000000000,12,63,15000,0.1,1,1,0,1,0,835619,820257,油尖旺區,Yau Tsim Mong,**,
67,11640,634,22.301140000000000,114.176119999999997,金德大廈,GOLDEN MANSION,金德大廈,7/1/1962 0:00,0,4207.500000000000000,844.000000000000000,5051.500000000000000,15,62,23130,0.4,1,0,0,0,0,836190,818020,油尖旺區,Yau Tsim Mong,*,
68,10495,484,22.292290000000001,114.198279999999997,和富大樓,WHARF MANSION,和富大樓,6/1/1962 0:00,0,6580.000000000000000,956.000000000000000,7536.000000000000000,15,62,27490,0.2,1,1,0,1,0,838470,817048,東區,Eastern,**,
69,10957,637,22.301140000000000,114.176119999999997,金德大廈,GOLDEN MANSION,金德大廈,7/1/1962 0:00,0,4207.500000000000000,844.000000000000000,5051.500000000000000,15,62,23130,0.4,1,0,0,0,0,836190,818020,油尖旺區,Yau Tsim Mong,*,
70,10648,1033,22.325340000000001,114.177700000000002,太和苑,PEACE GARDEN,太和苑,1/1/1962 0:00,0,4116.000000000000000,0,4116.000000000000000,13,63,84160,0.9,1,0,0,0,0,836356,820700,九龍城區,Kowloon City,*,
71,12378,887,22.325340000000001,114.177700000000002,太和苑,PEACE GARDEN,太和苑,1/1/1962 0:00,0,4116.000000000000000,0,4116.000000000000000,13,63,84160,0.9,1,0,0,0,0,836356,820700,九龍城區,Kowloon City,*,
72,11115,484,22.292290000000001,114.198279999999997,和富大樓,WHARF MANSION,和富大樓,6/1/1962 0:00,0,6580.000000000000000,956.000000000000000,7536.000000000000000,15,62,27490,0.2,1,1,0,1,0,838470,817048,東區,Eastern,**,
73,7173,460,22.247540000000001,114.157889999999995,香港仔大樓,YIP YEE MANSION,業漁大樓,8/1/1968 0:00,0,856.700000000000045,1350.299999999999955,2207.000000000000000,13,56,20000,1.000000000000000,1,0,0,0,0,834312,812076,南區,Southern,*,
74,13406,634,22.301140000000000,114.176119999999997,金德大廈,GOLDEN MANSION,金德大廈,7/1/1962 0:00,0,4207.500000000000000,844.000000000000000,5051.500000000000000,15,62,23130,0.4,1,0,0,0,0,836190,818020,油尖旺區,Yau Tsim Mong,*,
